sentence,main_mountain,mentioned_mountains
"Gyachung Kang (Nepali: ग्याचुङ्काङ, Gyāchung Kāng; Chinese: 格重康峰; pinyin: Géchóngkāng Fēng) is a mountain in the Mahalangur Himal section of the Himalayas and is the highest peak between Cho Oyu (8,201 m) and Mount Everest (8,848 m).",mount everest,"['mount everest', 'cho oyu', 'gyachung kang']"
"As the 15th highest peak in the world, it is also the co highest peak (with Gasherbrum III) that is not an eight-thousander; hence, it is far less well-known than the lowest of the eight-thousanders, which are only abou",mount everest,['gasherbrum iii']
"Annapurna II is the second-highest mountain of the Annapurna range located in Nepal, and the eastern anchor of the range.
In terms of elevation, isolation (distance to a higher summit, namely Annapurna I East Peak, 29.02 km or 18.03 mi) and prominence (2,437 m or 7,995 ft), Annapurna II does not rank far behind Annapurna I Main, which serves as the western anchor.",annapurna,"['annapurna', 'annapurna ii']"
"It is a fully independent peak, despite the close association with Annapurna I Main which its name implies; it is, however, closely c",annapurna,['annapurna']
"Himalchuli (also sometimes written as two words, Himal Chuli) is the second-highest mountain in the Mansiri Himal, part of the Nepalese Himalayas, and the 18th-highest mountain in the world (using a cutoff of 500 meters prominence, or re-ascent).",himalchuli,['himalchuli']
"It lies south of Manaslu, one of the eight-thousanders.",himalchuli,['manaslu']
"Himalchuli has three main peaks: East (7,893 m (25,896 ft)), West (7,540 m (24,740 ft)) and North (7,371 m (24,183 ft)).

Himalchuli is also notable for its large vertical relief over local terrain",himalchuli,['himalchuli']
"Disteghil Sar or Distaghil Sar (Urdu: دستاغل سر) is the highest mountain in the Baltin Bar Nallah Shishkat Hunza, part of the Karakoram mountain range in Gilgit-Baltistan, Pakistan.",shishapangma,['distaghil sar']
"It is the 19th-highest mountain on Earth, the 7th-highest in Pakistan, and the first of the high peaks after Shishapangma to be the tallest independent summit of its own subrange.",shishapangma,['shishapangma']
"Ngadi Chuli (also known as Peak 29, Dakura, Dakum, or Dunapurna) is a mountain in the Mansiri Himal (or Manaslu Himal), also known as the Gurkha Massif, in Nepal.",manaslu,"['manaslu', 'ngadi chuli']"
"With an elevation of 7,871 metres (25,823 ft) above sea level, it is the 20th-highest mountain on Earth.

Features
Flanked by Manaslu to the north and Himalchuli to the southeast, Ngadi Chuli is the middlemost and third-highest mountain of the massif.",manaslu,"['manaslu', 'himalchuli', 'ngadi chuli']"
"Nuptse or Nubtse (Sherpa: ནུབ་རྩེ། नुबचे, Wylie: Nub rtse, Chinese: 努子峰) is a mountain in the Khumbu region of the Mahalangur Himal, in the Nepalese Himalayas.",nuptse,['nuptse']
It lies 2 km (1.2 mi) WSW of Mount Everest.,nuptse,['mount everest']
"The main peak, Nuptse I at an elevation of 7,861 m (25,791 ft), was first climbed on May 16, 1961, by Dennis Davis and Sherpa Tashi.",nuptse,['nuptse']
"After a hiatus of almost 20 years, Nuptse again became the objective of mountaineers, with important routes being put up on its west, south, and north faces.

Nam",nuptse,['nuptse']
"Nanda Devi is the second-highest mountain in India, after Kangchenjunga, and the highest located entirely within the country.",nanda devi,"['kangchenjunga', 'nanda devi']"
"(Kangchenjunga is on the border of India and Nepal.) Nanda Devi is the 23rd-highest peak in the world.
Nanda Devi was considered the highest mountain in the world before computations in 1808 proved Dhaulagiri to be higher.",nanda devi,"['kangchenjunga', 'dhaulagiri', 'nanda devi']"
"It was also the highest mountain in India until 1975, when Sikkim, an independent kingdom until 1948 and a protectorate of India thereafter, became a s",nanda devi,['dom']
"Chomo Lonzo (Chinese: 珠穆隆索峰; pinyin: Zhūmùlóngsuǒ Fēng) is a mountain in Tibet, 5 km northeast of Makalu in the Mahalungur (Mohalingor) or Khumbu Himalayas.",makalu,"['makalu', 'chomo lonzo']"
"Batura Sar (Urdu: بتورا سر), also referred to as Batura I, is the 25th-highest mountain on Earth[1].",batura sar,['batura sar']
"It forms the apex of the Batura Wall, a continuously high part of the backbone of the Batura Muztagh.
Alternate forms of the name of this peak are Batura, Batura I, and Batura I East.

Location
Batura Sar and the Batura Wall lie near the middle of the Batura Muztagh between Shindar shander vall",batura sar,['batura sar']
"Kanjut Sar (Urdu: کنجت سر), or Kunjudh Sar as pronounced in Wakhi, is a mountain located between  Shimshal Valley, and Hisper valley part of the Karakoram mountain range.",kanjut sar,['kanjut sar']
"According to many residents of Shimshal, Kanjut Sar is the name of the adjacent peak Yukshin Gardan Sar, and vice versa.",kanjut sar,"['kanjut sar', 'yukshin gardan sar']"
"Rakaposhi (Burushaski: رآکاپوݜی, lit. 'Shining Wall'; Urdu: راکاپوشی) also known as Dumani (Burushaski: دومآنی, lit. 'Mother of Mist') is a mountain within the Karakoram range in Gilgit-Baltistan in Pakistan.",rakaposhi,"['rakaposhi', 'apo']"
"Namcha Barwa or Namchabarwa (Tibetan: གནམས་ལྕགས་འབར་བ།, Wylie: Gnams lcags 'bar ba, ZYPY: Namjagbarwa; Chinese: 南迦巴瓦峰, Pinyin: Nánjiābāwǎ Fēng) is a mountain peak lying in Tibet in the region of Pemako.",namcha barwa,['namcha barwa']
"Batura II (Urdu: بتورا ۲), also known as Hunza Kunji or Peak 31, is a 7,762-metre-high (25,466 ft) peak in the Batura Muztagh, which is the westernmost subrange of the Karakoram range.",batura ii,['batura ii']
"It was first ascended in 2008 by a South Korean duo from the University of Seoul Alpine Club consisting of Kim Chang-ho and Choi Suk-mun.

Location
Batura II lies in the Batura Muztagh, which is a part of the Karakoram range, lying west of the Hunza River.",batura ii,['batura ii']
"Kamet (Hindi: कामेत) is the second-highest mountain in the Garhwal region of Uttarakhand, India, after Nanda Devi.",kamet,"['nanda devi', 'kamet']"
"It lies in the Chamoli District of Uttarakhand.
Its appearance resembles a giant pyramid topped by a flat summit area with two peaks.

Climbing
Due to its position near the Tibetan Plateau, Kamet is very remote and not as accessible as some Himalayan peaks.",kamet,['kamet']
"Saltoro Kangri, previously known as Peak 36, stands as the highest peak within the Saltoro Mountains subrange, which is part of the larger Karakoram range.",saltoro kangri,['saltoro kangri']
"The term ""Saltoro Kangri"" typically encompasses both of its twin peaks, Saltoro Kangri I (located to the south) and Saltoro Kangri II, which are connected by a saddle.",saltoro kangri,['saltoro kangri']
"When comparing heights, the generic term ""Saltoro Kangri"" is used for the ta",saltoro kangri,['saltoro kangri']
"Batura III (Urdu: بتورا 3), also known as Batura Muztagh III, is a 7,729-metre-high (25,358 ft) peak in Batura Muztagh, Pakistan, which is the westernmost subrange of the Karakoram range.

Location
Batura III lies in the Batura Muztagh, which is a part of the Karakoram range, lying west of the Hunza River.",batura ii,"['batura ii', 'batura iii']"
"Together with Batura I, Batura II, Batura IV, and other lower peaks, Batura II forms part of the Batura Wall.

See also
List of mountains in Pakistan


== References ==",batura ii,['batura ii']
Mount Kumbhakarna  or Jannu (Limbu: Phoktanglungma) is the 32nd-highest mountain in the world.,jannu,['jannu']
"It is an important western outlier of Kangchenjunga, the world's third-highest peak.",jannu,['kangchenjunga']
"Kumbhakarna is a large and steep peak in its own right, and has numerous challenging climbing routes.
The official name of this peak is Kumbhakarna, but the designation Jannu is still better known.",jannu,['jannu']
"Terich Mir (also spelled Terichmir, Tirich Mir and Turch Mir) is the highest mountain of the Hindu Kush range, and the highest mountain in the world outside of the Himalayas–Karakoram range, at 7,708 meters (25,289 ft) above sea level.",tirich mir,['tirich mir']
"Molamenqing, also known as Phola Gangchen, is an eastern outlier of Shishapangma, the 14th-highest peak in the world.",molamenqing,"['shishapangma', 'molamenqing']"
"Molamenqing is little-known, partly since it does not have much independent stature.",molamenqing,['molamenqing']
"Gurla Mandhata, also Naimona'nyi or Namu Nani, is the highest peak of the Nalakankar Himal, a small subrange of the Himalaya.",shishapangma,['gurla mandhata']
"It is also notable for being well within the interior of the Tibetan Plateau (most peaks of similar height – except notably Shishapangma, the world's 14th-highest peak ",shishapangma,['shishapangma']
Saser Kangri (or Sasir Kangri) is a mountain in India.,saser kangri,['saser kangri']
"Sasir Kangri is located within Ladakh.

Saser Kangri massif
The Saser Kangri massif consists of six named peaks:

This massif lies toward the northwestern end of the Saser Muztagh, at the head of the North Shukpa Kunchang Glacier, a major glacier which drains the eastern slopes of the group.",saser kangri,['saser kangri']
"Chogolisa (Urdu: چوگولیزا derived from Chogo Ling Sa; literally ""Great Hunt"") is a trapezoidal mountain  located in the Karakoram range within the Gilgit-Baltistan region of Pakistan.",chogolisa,['chogolisa']
"It is situated near the Baltoro Glacier in the Concordia region, which is renowned for hosting some of the world's tallest peaks.
Chogolisa has several peaks: The highest peak, found on its southwest face (Chogolisa I), reaches an elevation of 7,665 meters (25,148 feet).",chogolisa,['chogolisa']
"The Kongur Tagh (meaning 'Brown Mountain' in English) is the highest peak in the Pamir Mountains, and also the highest mountain wholly within the Xinjiang Uyghur Autonomous Region, China.",kongur tagh,['kongur tagh']
"With an elevation of 7,649 metres (25,095 ft), it is also the highest mountain outside of the Hindu Kush/Karakoram and Himalaya ranges.

Geography
Kongur Tagh is within a range called the Kongur Shan (Chinese: 公格尔山; pinyin: Gōnggé'ěr Shān.)  Kongur Tagh is located just north of Muztagh Ata and visible from Kara",kongur tagh,"['kongur tagh', 'muztagh ata']"
"Shispare (Urdu:  شیسپیئر) is one of the high mountain peaks of the Batura Muztagh, the westernmost subrange of the Karakoram range in the Gilgit-Baltistan region of Pakistan.
Alternate forms of the name of this peak include Shispare Sar, Shisparé Sari ""Fiak Ting"" فیاک ٹنگ or Tegh Sar تیغ سر (which means Sharp Head in the local Wakhi Language).

Location
Shispare lies east of the Batura Wall, which is the highest part of the Batura Muztagh in Pakistan.",shispare,['shispare']
"Silberzacken (Urdu: سلبرزاکن), also known as East Peak, is a 7,597 metres (24,925 ft) high subsidiary peak of Nanga Parbat in the Himalayan Range in Pakistan.

Location and layout
Silberzacken is located on a ridge in Himalayan Range, south of the Indus River in the Diamer District of Gilgit–Baltistan in Pakistan.",silberzacken,"['nanga parbat', 'silberzacken']"
"The south and southeast side of the mountain is dominated by the Rupal face, while the north and northwest side of the mountain i",silberzacken,['dom']
"Changtse (Standard Tibetan: བྱང་རྩེ, lit. 'north peak', Chinese: 章子峰) is a mountain situated between the Main Rongbuk and East Rongbuk Glaciers in Tibet Autonomous Region, China, immediately north of Mount Everest.",mount everest,"['mount everest', 'changtse']"
"It is connected to Mount Everest via the North Col.
The given elevation of 7,543 metres is from modern Chinese mapping.",mount everest,['mount everest']
"Some authorities give 7,583 metres instead.
The Changtse Glacier flows north into the East Rongbuk Glacier.",mount everest,['changtse']
"Trivor (Urdu: ترِووُر or Trivor Sar) is one of the high mountain peaks of the Hispar Muztagh, a subrange of the Karakoram range in the Shimshal Valley, Gilgit-Baltistan of Pakistan.",trivor,['trivor']
"The height given here is from a Russian 1:100,000 topographic map.
The first ascent of Trivor was made by a British–American party, Wilfrid Noyce (UK) and Jack Sadler (USA) reached the summit on 17t",trivor,['trivor']
"Gangkhar Puensum (Dzongkha: གངས་དཀར་སྤུན་གསུམ་, romanized: Kangkar Punsum, alternatively, Gangkar Punsum or Gankar Punzum) is the highest mountain in Bhutan and the highest unclimbed mountain in the world, with an elevation of 7,570 metres (24,836 ft) and a prominence of 2,995 metres (9,826 ft).",gangkhar puensum,['gangkhar puensum']
"In Dzongkha language, its name means ""White Peak of the Three Spiritual Brothers"".
Gangkhar Puensum lies on the border between Bhutan and Tibet.",gangkhar puensum,['gangkhar puensum']
"This makes it the third highest peak in the world outside of the Himalaya/Karakoram range, after Tirich Mir and Kongur Tagh, and the eastern",tirich mir,"['tirich mir', 'kongur tagh']"
"Annapurna III (Nepali: अन्नपूर्ण ३) is a mountain in the Annapurna mountain range located in Nepal, and at 7,555 metres (24,787 ft) tall, it is the 42nd highest mountain in the world and the third highest peak of the Annapurna mountain range (Annapurna Fang is technically taller at 7,647 metres (25,089 ft), but lacks the prominence to be considered a fully independent peak).

Features
Located directly south of Manang village, Annapurna III is the easternmost peak within the Annapurna Sanctuary, ",annapurna,"['annapurna', 'annapurna ii', 'annapurna iii']"
"Kula Kangri is a mountain in the Eastern Himalayas that has an elevation of 7,538 metres (24,731 ft,) making it the 45th highest mountain on Earth and one of the Ultras of the Himalayas.",kula kangri,['kula kangri']
"It is disputed between Bhutan and China, with China claiming that Kula Kangri is fully in the Tibet Autonomous Region.",kula kangri,['kula kangri']
"
Chinese and Japanese authorities claim nearby Gangkhar Puensum is higher, and the claim that Kula Kangri is in or on the border with Bhutan is challenged.

Peaks
The current consensus height is",kula kangri,"['gangkhar puensum', 'kula kangri']"
"Skyang Kangri (Urdu: سکیانگ کنگری), or Staircase Peak, is a high mountain peak of the Baltoro Muztagh, a subrange of the Karakoram range.",skyang kangri,['skyang kangri']
"It lies on the Pakistan–China border, about 7 kilometres (4.3 mi) northeast of K2, the world's second-highest mountain.",skyang kangri,['k2']
"The name ""Staircase Peak"" refers to the East Ridge, which resembles a giant staircase with five steps.

Geology
As can be determined from limited exposures, the summit, northern, and northeast slopes of Skyang Kangri consist predominantly of ",skyang kangri,"['skyang kangri', 'dom']"
"Liangkang Kangri (also known as Gangkhar Puensum North and Liankang Kangri) is a mountain peak in the Himalayas on the border between Bhutan and China, as well as at the southeastern end of territory claimed by both countries.",gangkhar puensum,"['gangkhar puensum', 'liankang kangri']"
"To the south, a ridge leads to the 7,570-metre (24,840 ft) Gangkhar Puensum 2.17 kilometres (1.35 mi) to the south-southeast.",gangkhar puensum,['gangkhar puensum']
"Yukshin Gardan Sar (Urdu: یکشن گردن سر) is a high peak in the Shimshal Valley, a village in the Karakoram range in Pakistan.",khunyang chhish,['yukshin gardan sar']
It lies about 16 km (10 mi) northeast of Khunyang Chhish and 6 km (3.75 mi) northwest of Kanjut Sar.,khunyang chhish,"['khunyang chhish', 'kanjut sar']"
Annapurna IV (Nepali: अन्नपूर्ण ४) is a mountain of the Annapurna mountain range in the Himalayas which is located in Nepal.,annapurna,"['annapurna', 'annapurna iv']"
"Along with the taller Annapurna II, it is isolated from the other peaks in the range via a major col.",annapurna,"['annapurna', 'annapurna ii']"
Saser Kangri (or Sasir Kangri) is a mountain in India.,saser kangri,['saser kangri']
"Sasir Kangri is located within Ladakh.

Saser Kangri massif
The Saser Kangri massif consists of six named peaks:

This massif lies toward the northwestern end of the Saser Muztagh, at the head of the North Shukpa Kunchang Glacier, a major glacier which drains the eastern slopes of the group.",saser kangri,['saser kangri']
"Mamostong Kangri or Mamostang Kangri, surveyed as K35, is the highest peak in the remote Rimo Muztagh, a subrange of the Karakoram range in Ladakh union territory of India.",mamostong kangri,['mamostong kangri']
"It is the 48th-highest independent peak in the world (using a 500m prominence cutoff).
The South Chong Kumdan, Kichik Kumdan (Thangman Kangri), Mamostong, and South Terong Glaciers all head on the slopes of Mamostong Kangri.
Mamostong Kangri has not",mamostong kangri,['mamostong kangri']
"Muztagh Ata (meaning 'Iceberg Father' in English), formerly known as Mount Tagharma and Wi-tagh, is the second highest of the mountains which form the northern edge of the Tibetan Plateau, with an elevation of 7,546 m (24,757 ft).",muztagh ata,['muztagh ata']
"Ismoil Somoni Peak (Tajik: Қуллаи Исмоили Сомонӣ, romanized: Qulla-i Ismō‘il-i Sōmōnî/Qullaji Ismojili Somonī; Persian: قلّهٔ اسماعیل سامانی; Russian: Пик Исмои́ла Сомони́, romanized: Pik Ismoíla Somoní) is the highest mountain in Tajikistan.",ismoil somoni peak,['ismoil somoni peak']
Saser Kangri (or Sasir Kangri) is a mountain in India.,saser kangri,['saser kangri']
"Sasir Kangri is located within Ladakh.

Saser Kangri massif
The Saser Kangri massif consists of six named peaks:

This massif lies toward the northwestern end of the Saser Muztagh, at the head of the North Shukpa Kunchang Glacier, a major glacier which drains the eastern slopes of the group.",saser kangri,['saser kangri']
"Noshaq, also called Noshakh or Nowshakh (Dari: نوشاخ, Nowshākh, lit.",noshaq,['noshaq']
"""new horn""), is the second highest peak in the Hindu Kush Range after Tirich Mir at 7,492 m (24,580 ft).",noshaq,['tirich mir']
Noshaq is Afghanistan's highest mountain and is located in the northeastern corner of the country along the border with Pakistan.,noshaq,['noshaq']
"Pumari Chhish (Urdu:  پماری چش),  is a group of peaks in the Shimshal Valley, a village of the Karakoram range.",pumari chhish,['pumari chhish']
"It lies about 4 km east of Khunyang Chhish, in the heart of the Hispar, north of the Hispar Glacier.
Other peaks in the group include Pumari Chhish South and Pumari Chhish East.",pumari chhish,"['khunyang chhish', 'pumari chhish']"
"Pumari Chhish South lies about 1 km (0.6 mi) to the southeast of the main summit of Pumari Chhish and reaches 7,350 m (24,110 ft).",pumari chhish,['pumari chhish']
Pumari Chhish East r,pumari chhish,['pumari chhish']
"Passu Sar (Urdu: پسو سر; or Passu Sar, Passu I) is a mountain peak in the Batura Muztagh, a sub-range of the Karakoram mountain range, in the Hunza District of Gilgit-Baltistan, Pakistan.",passu sar,['passu sar']
"The peak lies on the main ridge of the Batura Muztagh, about 7 km (4 mi) east of Batura Sar.
The date of the first successful ascent of Passu Sar is disputed.",passu sar,"['batura sar', 'passu sar']"
Jongsong Peak is a mountain in the Janak section of the Himalayas.,kangchenjunga,['jongsong peak']
"At 7,462 metres (24,482 ft) it is the 57th highest peak in the world, although it is dominated by the 3rd highest, Kangchenjunga, 20 km (12 mi) to the south.",kangchenjunga,"['kangchenjunga', 'dom']"
"Jongsong's summit is on tripoint of India, Nepal and China.

History
From its first ascent in 1930 by members of a German expedition led by Gunther Dyhrenfurth until the first ascent of Kamet on 21 June 1931, Jongsong was the highest climbed peak in the world.",kangchenjunga,['kamet']
"Malubiting (Urdu: مالوبیتنگ), also known as Malubiting West, ranks as the second highest peak between Haramosh and Hispar Valley  in the Karakoram range in Pakistan.",malubiting,['malubiting']
"It is situated  between Bilchar Dobani  and Haramosh Peak, in the Gilgit-Baltistan region.

Location
Malubiting is situated at the core of the Haramosh Group of Mountains, which tower over the northern bank of the Indus River.",malubiting,"['malubiting', 'haramosh peak']"
"Gangapurna (Nepali: गंगापूर्ण) is a mountain in Gandaki Province, Nepal.",annapurna,['gangapurna']
"It is part of the Annapurna mountain range in north-central Nepal at an elevation of 7,455 metres (24,459 ft) and with the prominence of 563 metres (1,847 ft).",annapurna,['annapurna']
"Gangapurna is entirely located in the Annapurna Conservation Area.

Geography
Gangapurna is located at the border of Annapurna Rural Municipality, Kaski and Nesyang Rural Municipa",annapurna,"['annapurna', 'gangapurna']"
"Jengish Chokusu or Victory Peak  is the highest mountain in the Tian Shan mountain system in Central Asia at 7,439 metres (24,406 ft).",jengish chokusu,['jengish chokusu']
"Jengish Chokusu is the 16th most topographically prominent peak on Earth.

Names
The mountain is called Jengis",jengish chokusu,['jengish chokusu']
"K–12 refers to primary and secondary education in the United States, Canada, and Australia.
K12 may also refer to:

Arts and entertainment
K–12 (album), by Melanie Martinez
K–12 (film), the accompanying film
Sonata in A, K.",k12,['k12']
"coli K-12, a bacterial strain
Keratin 12, a protein
Coxeter–Todd lattice K12, a 12-dimensional lattice

Technology
21 cm K 12 (E) German World War II railway gun
AMD K",k12,['k12']
"Sia Kangri (7,422 m, 24,350 ft) is a mountain in the Baltoro Muztagh in the Karakoram.",sia kangri,['sia kangri']
"About a kilometer southeast of the Sia Kangri summit is the  tri point  where territories controlled by India, Pakistan and China meet.",sia kangri,['sia kangri']
"Momhil Sar (Urdu: مومہل سر), or Mumhail Sar as pronounced in Wakhi is at 7,414 metres (24,324 ft) above sea level, is the 64th highest mountain peak in the world.",trivor,['momhil sar']
"It is situated in Shimshal Valley the Hispar Muztagh subrange of the Karakoram range, a few kilometres to the north-west of its parent peak Trivor.
A group from the Styrian High-touring Section of the Austrian Alpine Association, led",trivor,['trivor']
"Istor-o-Nal is the third highest mountain in the Hindu Kush, in the Chitral District of the North-West Frontier Province of Pakistan.",tirich mir,['istor-o-nal']
"The peak is located a few kilometres northeast of Tirich Mir (the highest mountain in the Hindu Kush), across the Tirich Glacier.",tirich mir,['tirich mir']
"Because Istor-o-Nal is behind the higher peak of Tirich Mir from many viewpoints, it is not easily vi",tirich mir,"['tirich mir', 'istor-o-nal']"
"Ghent Kangri (or Mount Ghent, Ghaint I) is a high peak near the north end of the Saltoro Mountains, a subrange of the Karakoram range.",ghent kangri,['ghent kangri']
"It is located west of the Siachen Glacier near the Actual Ground Position Line between India and Pakistan.
Ghent Kangri was first climbed on 4 June 1961, by Wolfgang Axt, a member of an Austrian expedition led by Erich Waschak, via the West Ridge.",ghent kangri,['ghent kangri']
"Haramosh Peak (Urdu: ہراموش چوٹی), also known as Haramosh or Peak 58, is a Karakoram range mountain located in Gilgit-Baltistan, Pakistan.",haramosh peak,['haramosh peak']
"The 7,409-meter Haramosh Peak is situated roughly 65 kilometers (40 miles) to the east of Gilgit, within the south-central part of the Rakaposhi-Haramosh Mountains, which is a subrange of the Karakoram range.",haramosh peak,"['rakaposhi', 'haramosh peak', 'apo']"
Kabru  is a mountain in the Himalayas on the border of eastern Nepal and India.,kangchenjunga,['kabru']
"It is part of a ridge that extends south from the third highest mountain in the world Kangchenjunga, and is the southernmost 7,000 metres (23,000 ft) peak in the world.

The main features of this ridge are as follows (north to south):

Kangchenjunga South top, 8476 m, at 27°41′30″N 88°09′15″E
A 6600–6700 m saddle, located at 27°39′51″N 88°09′39″E
A 7349 m summit, known as Talung, at 27°39′18″N 88°07′51″E
A 6983 m sad",kangchenjunga,['kangchenjunga']
"Ultar (also Ultar Sar Urdu: آلتر سار, Ultar II, Bojohagur Duanasir II) is the 
southeasternmost major peak of the Batura Muztagh, a subrange of the Karakoram range.",ultar,"['ultar', 'bojohagur duanasir']"
"It lies about 10 km (6.2 mi) northeast of the Karimabad, a town on the Karakoram Highway in the Hunza Valley, part of the Hunza District of Gilgit–Baltistan, Pakistan.

Notable features and climbing history
While not one of the highest peaks of the Karakoram, Ultar Sar is notable for its dramatic rise above local terrain.",ultar,['ultar']
"It is located about 20 km northeast of the snout of the Siachen Glacier and its main summit, Rimo I (alternatively Rimo Kangri I) is the world's 71st highest mountain with an elevation of 7,385 metres (24,229 ft).",rimo i,['rimo i']
Sherpi Kangri is a mountain peak in the Karakoram Range.,sherpi kangri,['sherpi kangri']
