sentence,label
"Manaslu first climbed 9, Toshio Norbu, Japanese",B-MOUNTAIN O O O O O O
"Nanga Parbat (Urdu: نانگا (Urdu: pərbət̪]; mountain'), known lit. Mountains'), mountain Earth (26,660 ft) level.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O
Lying immediately northernmost Indus River region Pakistan-administered Nanga Parbat thus traditional view,O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O
"Annapurna अन्नपूर्ण) Annapurna mountain range Gandaki Province, Nepal.",B-MOUNTAIN O B-MOUNTAIN O O O O O
"Broad Peak ཕ༹ལ་ཆན་གངས་རི་།, Kangri, 'Broad Peak'; بروڈ پیک) one eight-thousanders, range Pakistan Xinjiang, China.",B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O
"Shishapangma, (Chinese: pinyin: Xī xià mǎ), world, 8,027 metres level.",B-MOUNTAIN O O O O O O O O O
"Gasherbrum III گاشر simplified 加舒尔布鲁木III峰; 加舒爾布魯木III峰; pinyin: Fēng), summit Baltoro subrange Karakoram border Xinjiang, China Gilgit-Baltistan,",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O
"II IV. Gasherbrum III fails 500 (1,600 topographic independent hence su",O O B-MOUNTAIN I-MOUNTAIN O O O O O O O
"Gyachung Kang (Nepali: Gyāchung 格重康峰; pinyin: Himal section highest peak Cho Oyu (8,201 Mount Everest (8,848",B-MOUNTAIN I-MOUNTAIN O O O O O O O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O
"highest world, also highest (with Gasherbrum III) hence, well-known lowest abou",O O O O O B-MOUNTAIN I-MOUNTAIN O O O O
"Annapurna II second-highest Annapurna anchor elevation, isolation higher summit, Annapurna East Peak, 18.03 mi) prominence Annapurna II rank Annapurna Main, serves western anchor.",B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN O O O O O B-MOUNTAIN O O O O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN O O O O
"fully independent close association Annapurna is, however, c",O O O O B-MOUNTAIN O O O
"Himalchuli (also sometimes second-highest mountain Mansiri Himal, part Nepalese Himalayas, mountain 500 prominence,",B-MOUNTAIN O O O O O O O O O O O O
"lies south Manaslu,",O O B-MOUNTAIN
"Himalchuli main peaks: (7,893 (25,896 ft)), (24,740 ft)) Himalchuli also vertical relief local",B-MOUNTAIN O O O O O O O B-MOUNTAIN O O O O
"Distaghil Sar سر) highest mountain Baltin Bar Shishkat Hunza, Karakoram mountain",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
"Earth, Pakistan, first high Shishapangma tallest independent",O O O O B-MOUNTAIN O O
"Ngadi Chuli (also known 29, Dakura, Dunapurna) Mansiri Manaslu Himal), known Nepal.",B-MOUNTAIN I-MOUNTAIN O O O O O O B-MOUNTAIN O O O
"7,871 metres (25,823 Features Flanked Manaslu north Himalchuli southeast, Ngadi Chuli middlemost mountain",O O O O O B-MOUNTAIN O B-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O
"Nuptse Nubtse Wylie: rtse, Chinese: 努子峰) Mahalangur Himal, Nepalese",B-MOUNTAIN O O O O O O O O
km mi) WSW Mount Everest.,O O O B-MOUNTAIN I-MOUNTAIN
"main peak, Nuptse elevation 7,861 ft), 16, Sherpa Tashi.",O O B-MOUNTAIN O O O O O O
"almost 20 Nuptse became objective important routes west, Nam",O O B-MOUNTAIN O O O O O O
"Nanda Devi second-highest mountain India, Kangchenjunga, entirely",B-MOUNTAIN I-MOUNTAIN O O O B-MOUNTAIN O
(Kangchenjunga border India Nepal.) Nanda Devi peak world. Nanda Devi considered Dhaulagiri higher.,B-MOUNTAIN O O O B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN O
"Chomo Lonzo (Chinese: Zhūmùlóngsuǒ mountain Tibet, northeast Makalu Khumbu Himalayas.",B-MOUNTAIN I-MOUNTAIN O O O O O B-MOUNTAIN O O
"Batura Sar also Batura I, 25th-highest Earth[1].",B-MOUNTAIN I-MOUNTAIN O O O O O
"forms apex backbone Batura Muztagh. Alternate name Batura, Batura Location Batura Sar Batura Wall Batura Shindar shander",O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
"Kanjut Sar (Urdu: کنجت Sar mountain Shimshal Valley, Hisper part Karakoram",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
"According Kanjut Sar name adjacent peak Yukshin Gardan Sar, versa.",O B-MOUNTAIN I-MOUNTAIN O O O B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O
"Rakaposhi (Burushaski: 'Shining Wall'; Dumani دومآنی, lit. 'Mother Mist') Karakoram range Pakistan.",B-MOUNTAIN O O O O O O O O O O O
"Namcha Barwa Wylie: 'bar ba, ZYPY: Namjagbarwa; Chinese: 南迦巴瓦峰, Fēng) peak lying Pemako.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
"Batura II (Urdu: also Peak 7,762-metre-high ft) peak Batura Muztagh, westernmost Karakoram",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
first 2008 Korean Seoul Club Choi Location Batura II lies Batura part lying west Hunza,O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Kamet (Hindi: second-highest Garhwal region Nanda Devi.,B-MOUNTAIN O O O O B-MOUNTAIN I-MOUNTAIN
District resembles flat summit area peaks. Climbing Due near Kamet accessible Himalayan peaks.,O O O O O O O O O B-MOUNTAIN O O O
"Saltoro Kangri, known Peak stands peak within subrange, part larger",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
"""Saltoro Kangri"" encompasses peaks, Saltoro Kangri south) Saltoro Kangri II, saddle.",B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O
"comparing heights, ""Saltoro Kangri"" used",O O B-MOUNTAIN I-MOUNTAIN O
"Batura III بتورا also known Batura 7,729-metre-high (25,358 Muztagh, westernmost subrange Karakoram Location Batura III lies part Hunza River.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O
"Batura I, Batura II, Batura IV, Batura II forms part also List == ==",O O B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O O O O O O
Mount Kumbhakarna Jannu (Limbu: mountain,O O B-MOUNTAIN O O
"western outlier Kangchenjunga, peak.",O O B-MOUNTAIN O
large peak challenging routes. official peak designation Jannu still better,O O O O O O O B-MOUNTAIN O O
"Terich (also Terichmir, Tirich Mir Mir) highest Hindu range, mountain outside Himalayas–Karakoram meters sea",O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
"Molamenqing, known eastern outlier Shishapangma, 14th-highest world.",B-MOUNTAIN O O O B-MOUNTAIN O O
"Molamenqing little-known, much stature.",B-MOUNTAIN O O O
"Gurla Mandhata, Naimona'nyi Namu highest Nalakankar Himal, small",B-MOUNTAIN I-MOUNTAIN O O O O O O
"also well within Tibetan similar except notably Shishapangma, world's 14th-highest",O O O O O O O B-MOUNTAIN O O
Saser Kangri (or Sasir mountain,B-MOUNTAIN I-MOUNTAIN O O O
located within Ladakh. Saser Kangri massif Saser Kangri massif consists named massif northwestern end North Kunchang major drains eastern,O O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
"Chogolisa Ling literally Hunt"") trapezoidal Karakoram range within Gilgit-Baltistan region",B-MOUNTAIN O O O O O O O O O
"situated Baltoro Glacier region, hosting world's tallest peaks. Chogolisa several southwest (Chogolisa elevation meters (25,148",O O O O O O O O B-MOUNTAIN O O B-MOUNTAIN O O O
Kongur Tagh (meaning 'Brown Mountain' English) peak also wholly within Xinjiang,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
"(25,095 also highest mountain Himalaya Kongur Tagh within range (Chinese: 公格尔山; pinyin: Kongur Tagh located north Muztagh Ata visible Kara",O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O O
"Shispare mountain peaks Batura range Alternate forms name include Shispare Sar, Shisparé تیغ سر means Sharp local Language). Location Shispare lies east Batura highest part Muztagh Pakistan.",B-MOUNTAIN O O O O O O O O B-MOUNTAIN O O O O O O O O O B-MOUNTAIN O O O O O O O
"Silberzacken (Urdu: known metres ft) high subsidiary Nanga Parbat Location Silberzacken located ridge Himalayan Range, Diamer District Gilgit–Baltistan Pakistan.",B-MOUNTAIN O O O O O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN O O O O O O O O
"Changtse (Standard 'north peak', Chinese: 章子峰) mountain situated East Tibet Region, China, Mount Everest.",B-MOUNTAIN O O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN
"Mount Everest North Col. given 7,543 metres modern",B-MOUNTAIN I-MOUNTAIN O O O O O O
"authorities 7,583 metres Changtse Glacier Rongbuk Glacier.",O O O B-MOUNTAIN O O O
"Trivor (Urdu: Trivor high mountain Muztagh, subrange range Valley, Pakistan.",B-MOUNTAIN O B-MOUNTAIN O O O O O O O
height given topographic Trivor made Wilfrid Noyce Sadler reached summit 17t,O O O B-MOUNTAIN O O O O O O O
"Gangkhar Puensum (Dzongkha: གངས་དཀར་སྤུན་གསུམ་, Kangkar Punsum, alternatively, Gangkar Punsum Gankar highest mountain Bhutan (24,836 2,995 metres",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O
"Dzongkha language, Peak Spiritual Gangkhar Puensum border Bhutan Tibet.",O O O O B-MOUNTAIN I-MOUNTAIN O O O
"makes third world outside range, Tirich Mir Kongur Tagh,",O O O O O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN I-MOUNTAIN
"Annapurna III अन्नपूर्ण ३) mountain Annapurna mountain range 7,555 metres tall, mountain highest Annapurna mountain (Annapurna Fang technically 7,647 metres ft), prominence considered fully independent peak). Manang village, Annapurna III Annapurna",B-MOUNTAIN I-MOUNTAIN O O O B-MOUNTAIN O O O O O O O B-MOUNTAIN O B-MOUNTAIN O O O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN
"Kula Kangri mountain Eastern 7,538 ft,) highest mountain Ultras Himalayas.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
"disputed Bhutan China, Kula Kangri fully Autonomous",O O O B-MOUNTAIN I-MOUNTAIN O O
"Chinese claim Gangkhar Puensum higher, Kula Kangri border Bhutan Peaks current",O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O O O
"Skyang Kangri (Urdu: سکیانگ Peak, high mountain Baltoro range.",B-MOUNTAIN I-MOUNTAIN O O O O O O O
"lies 7 kilometres mi) northeast K2, second-highest",O O O O O B-MOUNTAIN O
"Peak"" refers resembles giant staircase Geology determined northern, northeast Skyang Kangri consist predominantly",O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O O
Liangkang Kangri (also Gangkhar Puensum Liankang Kangri) mountain Himalayas Bhutan well territory countries.,O O O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN I-MOUNTAIN O O O O O O
"south, ridge (24,840 Gangkhar Puensum 2.17 mi) south-southeast.",O O O B-MOUNTAIN I-MOUNTAIN O O O
"Yukshin Gardan Sar یکشن گردن سر) Shimshal Valley, Pakistan.",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O
lies km (10 northeast Khunyang Chhish (3.75 mi) Kanjut Sar.,O O O O B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN
Annapurna IV (Nepali: अन्नपूर्ण ४) mountain Annapurna located,B-MOUNTAIN I-MOUNTAIN O O O O B-MOUNTAIN O
"Along taller Annapurna II, isolated range",O O B-MOUNTAIN I-MOUNTAIN O O
Saser Kangri (or Sasir Kangri),B-MOUNTAIN I-MOUNTAIN O O O
Sasir Saser Kangri Saser Kangri consists peaks: massif lies toward northwestern Saser head North Shukpa glacier drains eastern group.,O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O O
"Mamostong Kangri surveyed highest Muztagh, subrange Karakoram range territory India.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
"independent peak world prominence cutoff). South Kumdan, Kumdan (Thangman South Glaciers Mamostong Kangri. Mamostong Kangri",O O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN I-MOUNTAIN
"Muztagh Ata Father' English), Tagharma Wi-tagh, highest mountains form edge Tibetan Plateau, (24,757",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
"Ismoil Somoni Peak (Tajik: Қуллаи Сомонӣ, romanized: Somonī; Persian: قلّهٔ سامانی; Пик Исмои́ла Ismoíla Somoní) Tajikistan.",B-MOUNTAIN I-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O O
Saser Kangri (or Kangri) mountain,B-MOUNTAIN I-MOUNTAIN O O O
"Sasir located Saser Kangri massif Saser Kangri massif consists six named massif northwestern Saser Kunchang Glacier, glacier drains eastern",O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
"Noshaq, Noshakh (Dari: نوشاخ, lit.",B-MOUNTAIN O O O O
"""new peak Hindu Kush Tirich Mir 7,492 ft).",O O O O B-MOUNTAIN I-MOUNTAIN O O
Noshaq located northeastern corner along border,B-MOUNTAIN O O O O O
Pumari Chhish group peaks Shimshal village Karakoram,B-MOUNTAIN I-MOUNTAIN O O O O O
"lies km east Khunyang Chhish, north Glacier. include Pumari Chhish Pumari Chhish East.",O O O B-MOUNTAIN I-MOUNTAIN O O O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN I-MOUNTAIN O
"Pumari Chhish South km mi) southeast Pumari Chhish 7,350 (24,110 ft).",B-MOUNTAIN I-MOUNTAIN O O O O B-MOUNTAIN I-MOUNTAIN O O O
Pumari Chhish r,B-MOUNTAIN I-MOUNTAIN O
"Passu Sar (Urdu: پسو سر; Passu Sar, I) peak mountain range, Hunza Pakistan.",B-MOUNTAIN I-MOUNTAIN O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
peak lies main ridge mi) east Batura Sar. successful Passu Sar disputed.,O O O O O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O
Jongsong Peak mountain Himalayas.,B-MOUNTAIN I-MOUNTAIN O O
"7,462 57th highest peak dominated 3rd Kangchenjunga, (12 mi) south.",O O O O O O B-MOUNTAIN O O O
"Nepal History first 1930 members Gunther ascent Kamet 21 June 1931, Jongsong peak world.",O O O O O O O B-MOUNTAIN O O O O O O
"Malubiting مالوبیتنگ), known Malubiting West, highest peak Haramosh Hispar Valley",B-MOUNTAIN O O B-MOUNTAIN O O O O O O
"situated Bilchar Dobani Haramosh Peak, Gilgit-Baltistan Location Malubiting Group northern Indus",O O O B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN O O O
Gangapurna (Nepali: mountain Gandaki,B-MOUNTAIN O O O
"part Annapurna north-central Nepal elevation 7,455 metres ft) (1,847",O B-MOUNTAIN O O O O O O O
"Gangapurna Annapurna Conservation Area. Gangapurna located Annapurna Rural Municipality, Rural Municipa",B-MOUNTAIN B-MOUNTAIN O O B-MOUNTAIN O B-MOUNTAIN O O O O
"Jengish Chokusu highest mountain system 7,439 metres (24,406 ft).",B-MOUNTAIN I-MOUNTAIN O O O O O O O
Jengish Chokusu topographically prominent Earth. mountain called,B-MOUNTAIN I-MOUNTAIN O O O O O
"K–12 primary secondary education States, Australia. K12 refer K–12 Martinez K–12 accompanying A, K.",O O O O O O B-MOUNTAIN O O O O O O O
"coli K-12, Keratin K12, lattice Technology K 12 (E) II railway gun AMD K",O O O B-MOUNTAIN O O O O O O O O O O
"Sia Kangri m, ft) Baltoro Muztagh",B-MOUNTAIN I-MOUNTAIN O O O O
kilometer Sia Kangri tri point Pakistan China meet.,O B-MOUNTAIN I-MOUNTAIN O O O O O
"Momhil Sar (Urdu: pronounced Wakhi (24,324 level, 64th highest mountain peak",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
"situated Shimshal Valley Karakoram kilometres north-west Trivor. group Austrian Association, led",O O O O O O B-MOUNTAIN O O O O
"Istor-o-Nal third Kush, Chitral North-West Frontier Pakistan.",B-MOUNTAIN O O O O O O
"peak located kilometres northeast Tirich Mir highest Kush),",O O O O B-MOUNTAIN I-MOUNTAIN O O
"Istor-o-Nal peak Tirich Mir many viewpoints, vi",B-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O O
"Ghent Kangri Ghent, high peak north end Saltoro subrange range.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
"west Ground Position India Pakistan. Ghent Kangri climbed 1961, Wolfgang member expedition led Erich Waschak, West",O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
"Haramosh Peak (Urdu: ہراموش چوٹی), also Peak range located",B-MOUNTAIN I-MOUNTAIN O O O O O O O
"Haramosh Peak situated kilometers (40 miles) Gilgit, south-central Rakaposhi-Haramosh Mountains, range.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Kabru mountain border eastern,B-MOUNTAIN O O O
"ridge third highest world Kangchenjunga, 7,000 metres (23,000 peak main follows (north Kangchenjunga South top, 8476 m, 88°09′15″E 88°09′39″E 7349 Talung, 27°39′18″N",O O O O B-MOUNTAIN O O O O O O O B-MOUNTAIN O O O O O O O O O
Ultar Ultar Sar Urdu: آلتر Ultar Bojohagur Duanasir II) southeasternmost Batura subrange range.,B-MOUNTAIN B-MOUNTAIN O O O B-MOUNTAIN B-MOUNTAIN I-MOUNTAIN O O O O O
"lies km mi) Karimabad, town Karakoram Hunza District Notable climbing highest peaks Ultar notable dramatic local terrain.",O O O O O O O O O O O O B-MOUNTAIN O O O O
"20 northeast snout Siachen Glacier summit, Rimo I (alternatively 71st highest elevation (24,229",O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Sherpi Kangri peak Range.,B-MOUNTAIN I-MOUNTAIN O O
"lies six km Ghent Kangri (7,380 m) Saltoro Kangri (7,742 Sherpi Kangri western summit",O O O B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O
Sherpi Kangri approximately 7100 east. See also mountains Pakistan mountains India links Northern placemarks,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O O
Churen Himal हिमाल) mountain part Dhaulagiri,B-MOUNTAIN I-MOUNTAIN O O O B-MOUNTAIN
"elevation (24,183 first Hasegawa, Sherpa 1970. References Churen Himal Nepal Himal Profile",O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O
"Labuche Kang (or Kang, Lobuche I, northern Himalayas Tibet.",B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN O O O O
rises northwest east Shishapangma.,O O O B-MOUNTAIN
Kirat Chuli Tent Peak,B-MOUNTAIN I-MOUNTAIN O O
"Skil Brum (Urdu: برم), Skilbrum, Karakoram Gilgit–Baltistan, Pakistan, km west-southwest K2.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O B-MOUNTAIN
"western side Godwin-Austen Glacier, Broad Peak. Schmuck Fritz Wintersteller Skil Brum, pure Alpine style.",O O O O B-MOUNTAIN I-MOUNTAIN O O O B-MOUNTAIN I-MOUNTAIN O O O
"camp Broad Peak 4,950 metres, 6,060 summit next camped 6,060",O B-MOUNTAIN I-MOUNTAIN O O O O O O O
Abi Gamin known Ibi Gamin) peak mostly situated district 2 mi) northeast Kamet.,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O B-MOUNTAIN
summit border slope Prefecture Tibet. Abi Gamin culminating Zaskar Range.,O O O O O B-MOUNTAIN I-MOUNTAIN O O O
"Gimmigela Chuli, border Mechi, Nepal India. Location 7,350 (24,110 ft) level 432 ft).",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O O
"situated 4.2 Kangchenjunga. mountain Gimmigela Chuli II 7,005 ft) prominence 185 ft).",O O B-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O O O O O
Saraghrar (Urdu: سراغرار) fourth-highest Hindu,B-MOUNTAIN O O O O
"entire Saraghrar stretched elevation 7,000 ft), vertical granite faces, protect",O B-MOUNTAIN O O O O O O O O
"ridge whose high Ultar Sar, also known (despite higher).",O O O B-MOUNTAIN O O O O O
Chamlang mountain Nepalese Makalu.,B-MOUNTAIN O O B-MOUNTAIN
"Chamlang elevation 7,319 metres (24,012 ft). face climbed two French mountain guides,",B-MOUNTAIN O O O O O O O O O O O
Chongtar Kangri Peak peak region China.,B-MOUNTAIN I-MOUNTAIN O O O O
"Chongtar 10 mi) K2 China's border summited Australian climber Mortimer, See Geography China ==",O O O B-MOUNTAIN O O O O O O O O O O
Baltoro Kangri (Urdu: کنگری known Golden mountain mountain range,B-MOUNTAIN I-MOUNTAIN O O O O O O O
"Baltoro Kangri highest world elevation metres (23,990",B-MOUNTAIN I-MOUNTAIN O O O O O
lies south east Chogolisa Peak,O O O B-MOUNTAIN O
Baltoro (which one glaciers outside foot Baltoro Kangri.,O O O O O O B-MOUNTAIN I-MOUNTAIN
northern side Baltoro Kangri,O O B-MOUNTAIN I-MOUNTAIN
Siguang Ri Mahalangur Himalayas China.,B-MOUNTAIN I-MOUNTAIN O O O
"located approximately 6 kilometers Cho Oyu, Siguang Ri significant subpeaks: Siguang Ri 28°09′N 86°43′E (6998m, Prominence Siguang Ri 28°10′N 86°39′E Prominence 340m) ==",O O O O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN I-MOUNTAIN O O B-MOUNTAIN I-MOUNTAIN O O O O B-MOUNTAIN I-MOUNTAIN O O O O O
Summa Ri known Summa Ri II) Skil Brum Hindu Kush-Karakoram range.,B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O O
region Kashmir Xinjiang Autonomous Region China. Location Summa Ri ft) (807,O O O O O O O B-MOUNTAIN I-MOUNTAIN O O
located 2.39 northeast Skil Brum.,O O O B-MOUNTAIN I-MOUNTAIN
"The Crown broadly aspects within Commonwealth realms the Crown territories, provinces, states).",B-MOUNTAIN I-MOUNTAIN O O O O O B-MOUNTAIN I-MOUNTAIN O O O
term used monarch law; functions executive (the legislative (the (the Crown bench) service.,O O O O O O O O O B-MOUNTAIN I-MOUNTAIN O O
"Gyala Peri 加拉白垒, Pinyin: ft) peak eastern end entrance gorge.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
"part Nyenchen Namcha Barwa Himalayas. Gyala Peri lies Yarlung River, main southeastern Tibet, becomes Brahmaputra India.",O O B-MOUNTAIN I-MOUNTAIN O B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
22 mi) higher Namcha Barwa. featur,O O O B-MOUNTAIN I-MOUNTAIN O
Porong Ri mountain Langtang,B-MOUNTAIN I-MOUNTAIN O O
"peak China, one Nepal border. Porong Ri climbed 1982 team. links Porong Ri Peakery",O O O O O B-MOUNTAIN I-MOUNTAIN O O O O B-MOUNTAIN I-MOUNTAIN O
"Baintha Brakk براک) Ogre steep, craggy mountain, (23,901 ft) Panmah Karakoram",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
"famous one hardest peaks climb: years ascent Baintha Brakk north Glacier, one glaciers central Karakoram.",O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
"Yutmaru Sar Hispar range, Karakoram.",B-MOUNTAIN I-MOUNTAIN O O O
Yutmaru Sar located region Pakistan-administered,B-MOUNTAIN I-MOUNTAIN O O O
"K6 refer K6 (mountain), K6 pipe, formation Northern Alberta, Canada K6, shorthand",B-MOUNTAIN O B-MOUNTAIN O B-MOUNTAIN O O O O O B-MOUNTAIN O
"Konwiktorska address General Municipal Warsaw, Poland K6, submarine K-6 (SS-37), 1914 K-class submarine 6, manufactured Alexander Schleicher GmbH Germany K6, Angkor K 6 sailboat",O O O O O O B-MOUNTAIN O O O O O O O O O O O O B-MOUNTAIN O O O O
Kangpenqing (also Benchhen) mountain China.,B-MOUNTAIN O O O O
"Mana Peak पर्वत) mountain India, located entirely Uttarakhand.",B-MOUNTAIN I-MOUNTAIN O O O O O O
Nanda Devi mountain category.,B-MOUNTAIN I-MOUNTAIN O O
known Mana Peak: eastern approach East Kamet approach Banke Kund glacier. Mana Peak climbed solo 1937 expedition. == References,O B-MOUNTAIN I-MOUNTAIN O O O B-MOUNTAIN O O O O B-MOUNTAIN I-MOUNTAIN O O O O O O
"Muztagh Tower (Urdu: مز mountain), mountain situated Baltoro segment Karakoram range.",B-MOUNTAIN I-MOUNTAIN O O O O O O O O O
Muztagh Tower basins Laggo glaciers. Mustagh gained attention captured 1909 Italian expedi,B-MOUNTAIN I-MOUNTAIN O O O O O O O O O O
"Diran (Urdu: mountain Karakoram Bagrot Valley,",B-MOUNTAIN O O O O O
